Hedef,Model,Özellik Seti,RMSE,MAE,R2,Yön Doğruluğu,Parametreler
Target_1d,Ridge,Full,1880.9370287245736,1313.7739314997427,0.9954381958136334,0.48306148055207027,alpha=1.0
Target_1d,Ridge,RFE,1884.7461812306246,1317.2002479751545,0.99541970056092,0.48306148055207027,alpha=1.0
Target_1d,Ridge,PCA,1862.3903588075354,1296.7417021763674,0.9955277141250438,0.48180677540777916,alpha=1.0
Target_1d,KNN,Full,53540.32604009592,46164.447381077705,-2.696154786037144,0.4629861982434128,n_neighbors=5
Target_1d,KNN,RFE,52647.73670255437,45523.6352646366,-2.573942316636627,0.48055207026348806,n_neighbors=5
Target_1d,KNN,PCA,43534.74244790482,37771.2702737594,-1.4437686326980752,0.47051442910915936,n_neighbors=5
Target_7d,Ridge,Full,4989.129122941451,3738.9307116173386,0.9678271029564381,0.4899497487437186,alpha=1.0
Target_7d,Ridge,RFE,4936.748429392912,3701.039229125566,0.9684991208530235,0.48743718592964824,alpha=1.0
Target_7d,Ridge,PCA,4661.6317152776155,3482.6350286549923,0.9719122726469928,0.49246231155778897,alpha=1.0
Target_7d,KNN,Full,53865.148131310096,46532.92986286073,-2.750217000278679,0.4685929648241206,n_neighbors=5
Target_7d,KNN,RFE,53301.15690651054,46092.974996863246,-2.672095372293807,0.4798994974874372,n_neighbors=5
Target_7d,KNN,PCA,44668.448724293856,39246.20801671267,-1.5789470278042352,0.4899497487437186,n_neighbors=5
Target_30d,Ridge,Full,11755.387857628748,8940.759367817283,0.8189229015762683,0.47914032869785084,alpha=1.0
Target_30d,Ridge,RFE,23611.878363982796,19642.29589575612,0.2694487709996002,0.48672566371681414,alpha=1.0
Target_30d,Ridge,PCA,9654.841264580962,7274.91277385662,0.8778538234952356,0.4829329962073325,alpha=1.0
Target_30d,KNN,Full,56002.42749993736,48833.934017398984,-3.1096355171408865,0.4968394437420986,n_neighbors=5
Target_30d,KNN,RFE,56362.78698215633,49078.302061338385,-3.1626943192023527,0.49051833122629585,n_neighbors=5
Target_30d,KNN,PCA,44877.502847277945,39544.65127770202,-1.6390460432808491,0.4993678887484197,n_neighbors=5
Target_365d,Ridge,Full,25951.105598870017,20417.718952085,-0.0980590773326846,0.5096685082872928,alpha=1.0
Target_365d,Ridge,RFE,19864.57973236913,15833.402689929017,0.35661232183958425,0.4903314917127072,alpha=1.0
Target_365d,Ridge,PCA,35662.766006725375,33699.29805281231,-1.07369091410582,0.5082872928176796,alpha=1.0
Target_365d,KNN,Full,51052.30972852705,44594.08577751724,-3.2495678475658263,0.4861878453038674,n_neighbors=5
Target_365d,KNN,RFE,50912.305039014056,44487.002317241386,-3.2262919711699327,0.47651933701657456,n_neighbors=5
Target_365d,KNN,PCA,56098.706863902895,47386.63626656552,-4.131208683291292,0.47928176795580113,n_neighbors=5
